| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|  77   | 1080  |  286  | +2.9400e-08 | 2.12e+02 | 6.74e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  78   | 1092  |  288  | +2.9309e-08 | 2.12e+02 | 6.38e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  79   | 1104  |  298  | +2.2508e-08 | 2.12e+02 | 1.70e-05 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  80   | 1116  |  301  | +2.2154e-08 | 2.12e+02 | 7.63e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  81   | 1128  |  308  | +2.1906e-08 | 2.12e+02 | 5.10e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  82   | 1140  |  316  | +2.1243e-08 | 2.12e+02 | 1.37e-05 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  83   | 1152  |  320  | +2.1022e-08 | 2.12e+02 | 1.07e-05 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  84   | 1164  |  328  | +1.7768e-08 | 2.12e+02 | 1.26e-05 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  85   | 1176  |  331  | +1.7586e-08 | 2.12e+02 | 4.67e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  86   | 1188  |  340  | +6.9032e-09 | 2.12e+02 | 2.07e-05 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  87   | 1200  |  344  | +6.3648e-09 | 2.12e+02 | 6.06e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  88   | 1212  |  353  | +1.3232e-09 | 2.12e+02 | 1.18e-05 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  89   | 1224  |  355  | +1.2738e-09 | 2.12e+02 | 2.35e-06 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  90   | 1236  |  360  | +1.2552e-09 | 2.12e+02 | 6.91e-07 | 0.00e+00 | 1.00e+00 |  1.60e-06   |   4   |
|  91   | 1236  |  360  | +1.2552e-09 | 1.06e+03 | 6.32e-07 | 0.00e+00 | 1.00e+00 |  3.20e-07   |   0   |
|  92   | 1248  |  369  | +6.1096e-10 | 1.06e+03 | 1.57e-05 | 0.00e+00 | 1.00e+00 |  3.20e-07   |   4   |
|  93   | 1260  |  371  | +5.2740e-10 | 1.06e+03 | 4.18e-06 | 0.00e+00 | 1.00e+00 |  3.20e-07   |   4   |
|  94   | 1272  |  375  | +5.0824e-10 | 1.06e+03 | 8.34e-07 | 0.00e+00 | 1.00e+00 |  3.20e-07   |   4   |
|  95   | 1284  |  381  | +5.0418e-10 | 1.06e+03 | 2.09e-07 | 0.00e+00 | 1.00e+00 |  3.20e-07   |   4   |
|  96   | 1284  |  381  | +5.0418e-10 | 5.29e+03 | 1.94e-07 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   0   |
|  97   | 1296  |  390  | +4.8860e-10 | 5.29e+03 | 3.92e-06 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  98   | 1308  |  395  | +4.5863e-10 | 5.29e+03 | 1.01e-06 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  99   | 1320  |  400  | +4.5415e-10 | 5.29e+03 | 1.30e-07 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  100  | 1344  |  409  | +4.5415e-10 | 5.29e+02 | 1.30e-07 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  101  | 1368  |  418  | +4.5415e-10 | 5.29e+01 | 1.30e-07 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  102  | 1392  |  427  | +4.5415e-10 | 5.29e+00 | 1.30e-07 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  103  | 1404  |  432  | +4.5414e-10 | 5.29e+00 | 2.26e-07 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
|  104  | 1416  |  440  | +4.5405e-10 | 5.29e+00 | 1.16e-07 | 0.00e+00 | 1.00e+00 |  6.40e-08   |   4   |
